종목명,종목코드,현재가,등락률(%),시장
SK디스커버리우,006125,42250,-0.35,KOSPI
SK디앤디,210980,12880,+0.47,KOSPI
SK리츠,395400,6490,-3.99,KOSPI
SK바이오사이언스,302440,43300,+0.58,KOSPI
SK바이오팜,326030,99300,-0.60,KOSPI
SK스퀘어,402340,991000,+17.84,KOSPI
SK아이이테크놀로지,361610,26800,+1.52,KOSPI
SK오션플랜트,100090,23500,-4.28,KOSPI
SK우,03473K,326000,+9.40,KOSPI
SK이노베이션,096770,145700,-0.34,KOSPI
SK이노베이션우,096775,79000,+1.67,KOSPI
SK이터닉스,475150,55200,-4.83,KOSPI
SK증권,001510,5190,-0.76,KOSPI
SK증권우,001515,12760,-2.67,KOSPI
SK케미칼,285130,59700,+0.51,KOSPI
SK케미칼우,28513K,27850,-0.18,KOSPI
SK텔레콤,017670,97400,+2.42,KOSPI
SK하이닉스,000660,1447000,+12.52,KOSPI
SM C&C,048550,1127,-1.14,KOSDAQ
SM Life Design,063440,1464,-0.20,KOSDAQ
SNT다이내믹스,003570,59300,-0.84,KOSPI
SNT모티브,064960,34500,-1.43,KOSPI
SNT에너지,100840,58600,+4.27,KOSPI
SNT홀딩스,036530,61100,-1.61,KOSPI
SOOP,067160,55500,-4.97,KOSDAQ
SP삼화,000390,9260,-2.01,KOSPI
STX,011810,3530,+0.00,KOSPI
STX그린로지스,465770,4020,-6.94,KOSPI
STX엔진,077970,60000,-2.60,KOSPI
SUN&L,002820,2380,+0.42,KOSPI
SV인베스트먼트,289080,4280,+5.81,KOSDAQ
SYTS,002170,59000,-1.99,KOSPI
SY동아,041930,6800,-0.73,KOSDAQ
TBH글로벌,084870,2125,-2.75,KOSPI
TCC스틸,002710,19980,+1.27,KOSPI
THE CUBE&,013720,683,-1.59,KOSDAQ
THE E&M,089230,3915,+0.64,KOSDAQ
TJ미디어,032540,3730,-1.06,KOSDAQ
TKG휴켐스,069260,18440,-2.38,KOSPI
TP,007980,2140,-2.28,KOSPI
TPC로보틱스,048770,3905,-1.01,KOSDAQ
TS인베스트먼트,246690,1865,+4.48,KOSDAQ
TS트릴리온,317240,309,+0.00,KOSDAQ
TYM,002900,8320,+3.35,KOSPI
WISCOM,024070,2810,+13.31,KOSPI
YBM넷,057030,2885,-0.35,KOSDAQ
YG PLUS,037270,5050,-1.17,KOSPI
YTN,040300,3485,+0.43,KOSDAQ
YW,051390,4540,+2.60,KOSDAQ
iMBC,052220,3110,-0.80,KOSDAQ
iM금융지주,139130,19300,+1.05,KOSPI
가비아,079940,31100,+3.49,KOSDAQ
가온그룹,078890,6930,+2.82,KOSDAQ
가온전선,000500,288500,+19.46,KOSPI
가온칩스,399720,73300,+4.12,KOSDAQ
감성코퍼레이션,036620,6480,-0.77,KOSDAQ
강남제비스코,000860,16350,-2.91,KOSPI
강동씨앤엘,198440,1145,-4.18,KOSDAQ
강스템바이오텍,217730,3970,-0.63,KOSDAQ
강원랜드,035250,16950,-1.45,KOSPI
강원에너지,114190,16200,+5.68,KOSDAQ
갤럭시아머니트리,094480,8780,+3.05,KOSDAQ
갤럭시아에스엠,011420,1885,+2.45,KOSPI
경남스틸,039240,2930,-0.85,KOSDAQ
경남제약,053950,769,+0.00,KOSDAQ
경농,002100,10600,+1.15,KOSPI
경동나비엔,009450,76900,-1.03,KOSPI
경동도시가스,267290,23000,+0.00,KOSPI
경동인베스트,012320,67000,+1.52,KOSPI
경동제약,011040,5630,-0.18,KOSDAQ
경방,000050,10320,+2.18,KOSPI
경보제약,214390,6650,-0.45,KOSPI
경인양행,012610,5630,+10.61,KOSPI
경인전자,009140,23500,+3.07,KOSPI
경창산업,024910,1991,-1.92,KOSDAQ
계룡건설,013580,28700,-1.03,KOSPI
계양전기,012200,7130,+1.86,KOSPI
계양전기우,012205,8470,+0.47,KOSPI
고려산업,002140,2840,+0.35,KOSPI
고려신용정보,049720,10040,-0.20,KOSDAQ
고려아연,010130,1629000,+3.17,KOSPI
고려제강,002240,25400,-1.17,KOSPI
고려제약,014570,4125,-1.55,KOSDAQ
고바이오랩,348150,5130,-3.57,KOSDAQ
고스트스튜디오,950190,8090,-0.37,KOSDAQ
고영,098460,38950,-3.23,KOSDAQ
골드앤에스,035290,716,+3.77,KOSDAQ
골프존,215000,50400,-1.75,KOSDAQ
골프존홀딩스,121440,5140,-2.10,KOSDAQ
공구우먼,366030,6830,+1.19,KOSDAQ
광동제약,009290,8350,+0.97,KOSPI
광명전기,017040,932,+0.00,KOSPI
광무,029480,2170,+1.40,KOSDAQ
광전자,017900,10430,+3.17,KOSPI
광주신세계,037710,38100,-1.04,KOSPI
광진실업,026910,2290,+7.51,KOSDAQ
교보15호스팩,465320,2335,+0.00,KOSDAQ
교보16호스팩,482520,2045,-0.24,KOSDAQ
교보17호스팩,489210,2100,+0.00,KOSDAQ
교보18호스팩,0041B0,2025,-0.98,KOSDAQ
교보19호스팩,0098T0,2035,-0.49,KOSDAQ
교보20호스팩,0132G0,1996,-0.20,KOSDAQ
교보증권,030610,14710,+7.92,KOSPI
교촌에프앤비,339770,4445,-0.89,KOSPI
구영테크,053270,2360,+0.00,KOSDAQ
국도화학,007690,40900,-2.15,KOSPI
국보디자인,066620,23750,+0.64,KOSDAQ
국순당,043650,4270,-0.23,KOSDAQ
국영지앤엠,006050,1312,-4.58,KOSDAQ
국일신동,060480,1899,+4.28,KOSDAQ
국일제지,078130,436,+0.00,KOSDAQ
국전,307750,3855,-1.41,KOSDAQ
국제약품,002720,4710,+0.00,KOSPI
그래디언트,035080,11550,-4.62,KOSDAQ
그래피,318060,32250,-2.86,KOSDAQ
그리드위즈,453450,25200,+0.20,KOSDAQ
그리티,204020,2340,-0.64,KOSDAQ
그린광학,0015G0,35050,+7.19,KOSDAQ
그린리소스,402490,20700,-0.48,KOSDAQ
그린생명과학,114450,2890,-1.37,KOSDAQ
그린케미칼,083420,6250,-0.16,KOSPI
그린플러스,186230,4490,-1.21,KOSDAQ
극동유화,014530,3895,-2.63,KOSPI
글로벌에스엠,900070,610,+0.00,KOSDAQ
글로벌텍스프리,204620,5940,-0.34,KOSDAQ
글로본,019660,2260,-0.44,KOSDAQ
금강공업,014280,5380,+0.37,KOSPI
금강공업우,014285,7030,-1.95,KOSPI
금강철강,053260,6810,+6.41,KOSDAQ
금비,008870,45000,+0.11,KOSPI
금양,001570,9900,+0.00,KOSPI
금양그린파워,282720,16420,+1.99,KOSDAQ
금호건설,002990,5480,-0.90,KOSPI
금호건설우,002995,14780,-3.96,KOSPI
금호석유화학,011780,144400,-1.50,KOSPI
금호석유화학우,011785,60300,-1.31,KOSPI
금호에이치티,214330,3605,-9.42,KOSPI
금호전기,001210,921,-2.13,KOSPI
금호타이어,073240,5670,-2.58,KOSPI
금화피에스시,036190,40700,+0.99,KOSDAQ
기가레인,049080,2055,-0.72,KOSDAQ
기가비스,420770,109500,+5.39,KOSDAQ
기산텔레콤,035460,3890,+1.43,KOSDAQ
기신정기,092440,2410,+1.26,KOSPI
